Archivo,Video,Fecha,Duración (frames),Personas Únicas,Grupos Detectados,Top Grupo (frames)
REPORTE_05-02-2025-V1.mp4.txt,05-02-2025-V1.mp4,05-02,37985,122,16,341
REPORTE_05-02-2025-V2.mp4.txt,05-02-2025-V2.mp4,05-02,39561,40,5,90
REPORTE_05-02-2025-V3.mp4.txt,05-02-2025-V3.mp4,05-02,22183,290,86,467
REPORTE_05-14-2025-V1.mp4.txt,05-14-2025-V1.mp4,05-14,17995,413,102,1482
REPORTE_05-14-2025-V2.mp4.txt,05-14-2025-V2.mp4,05-14,33341,899,171,6093
REPORTE_05-14-2025-V3.mp4.txt,05-14-2025-V3.mp4,05-14,31427,633,109,5552
REPORTE_05-16-2025-V1.mp4.txt,05-16-2025-V1.mp4,05-16,36160,936,274,2364
REPORTE_05-16-2025-V2.mp4.txt,05-16-2025-V2.mp4,05-16,18133,764,189,3964
REPORTE_05-16-2025-V3.mp4.txt,05-16-2025-V3.mp4,05-16,28228,582,164,1487
REPORTE_05-26-2025-V1.mp4.txt,05-26-2025-V1.mp4,05-26,30737,1413,428,11635
REPORTE_05-26-2025-V2.mp4.txt,05-26-2025-V2.mp4,05-26,31643,1543,468,3778
REPORTE_05-26-2025-V3.mp4.txt,05-26-2025-V3.mp4,05-26,31556,2255,819,11119
REPORTE_05-26-2025-V4.mp4.txt,05-26-2025-V4.mp4,05-26,32671,2314,814,2838
REPORTE_05-26-2025-V5.mp4.txt,05-26-2025-V5.mp4,05-26,33390,1894,689,1507
REPORTE_05-26-2025-V6.mp4.txt,05-26-2025-V6.mp4,05-26,32750,2002,681,2629
REPORTE_05-27-2025-V1.mp4.txt,05-27-2025-V1.mp4,05-27,32025,1920,598,5774
REPORTE_05-27-2025-V2.mp4.txt,05-27-2025-V2.mp4,05-27,30933,1759,651,1977
REPORTE_05-27-2025-V3.mp4.txt,05-27-2025-V3.mp4,05-27,29433,1904,718,3644
REPORTE_05-28-2025-V1.mp4.txt,05-28-2025-V1.mp4,05-28,32955,1468,471,3129
REPORTE_05-28-2025-V2.mp4.txt,05-28-2025-V2.mp4,05-28,32463,1592,494,4886
REPORTE_05-28-2025-V3.mp4.txt,05-28-2025-V3.mp4,05-28,33912,2114,840,2178
REPORTE_05-28-2025-V4.mp4.txt,05-28-2025-V4.mp4,05-28,32191,2818,950,1003
REPORTE_05-28-2025-V5.mp4.txt,05-28-2025-V5.mp4,05-28,31630,2226,872,3567
REPORTE_05-28-2025-V6.mp4.txt,05-28-2025-V6.mp4,05-28,29882,2278,762,1872
REPORTE_05-29-2025-V1.mp4.txt,05-29-2025-V1.mp4,05-29,32336,2119,679,2162
REPORTE_05-29-2025-V2.mp4.txt,05-29-2025-V2.mp4,05-29,31457,2187,828,3341
REPORTE_05-29-2025-V3.mp4.txt,05-29-2025-V3.mp4,05-29,28651,2662,853,1500
REPORTE_06-04-2025-V1.mp4.txt,06-04-2025-V1.mp4,06-04,32466,2040,685,2284
REPORTE_06-06-2025-V1.mp4.txt,06-06-2025-V1.mp4,06-06,34591,2768,882,3665
REPORTE_06-06-2025-V2.mp4.txt,06-06-2025-V2.mp4,06-06,32716,2578,744,2019
REPORTE_06-06-2025-V3.mp4.txt,06-06-2025-V3.mp4,06-06,33161,1404,447,5541
REPORTE_06-06-2025-V4.MP4.txt,,,34937,1246,328,4077
REPORTE_06-06-2025-V5.MP4.txt,,,34721,1325,451,3235
REPORTE_06-06-2025-V6.MP4.txt,,,31660,1420,432,3637
REPORTE_06-09-2025-V1.MP4.txt,,,32022,1024,376,8550
REPORTE_06-09-2025-V2.MP4.txt,,,32526,1175,433,5856
REPORTE_06-09-2025-V3.MP4.txt,,,33027,1700,725,2084
REPORTE_06-11-2025-V1.MP4.txt,,,29103,1409,553,3816
REPORTE_06-11-2025-V2.MP4.txt,,,32310,1615,571,3053
REPORTE_06-11-2025-V3.MP4.txt,,,25473,1123,413,6065
REPORTE_06-16-2025-V1.MP4.txt,,,30351,1545,423,4768
REPORTE_06-16-2025-V2.MP4.txt,,,29438,1145,429,4361
REPORTE_06-16-2025-V3.MP4.txt,,,29136,861,268,7707
REPORTE_06-17-2025-V1.MP4.txt,,,32031,668,247,3699
REPORTE_06-17-2025-V2.MP4.txt,,,33051,950,327,4577
REPORTE_06-17-2025-V3.MP4.txt,,,29983,820,236,7047
REPORTE_06-20-2025-V1.MP4.txt,,,30048,2106,675,4408
REPORTE_06-20-2025-V2.MP4.txt,,,32739,2205,783,2971
REPORTE_06-20-2025-V3.MP4.txt,,,27271,2023,584,3940
REPORTE_06-26-2025-V1.MP4.txt,,,29684,1759,605,4242
REPORTE_06-26-2025-V2.MP4.txt,,,30931,2609,1082,1978
REPORTE_06-26-2025-V3.MP4.txt,,,31206,1747,692,2045
REPORTE_06-27-2025-V1.mp4.txt,06-27-2025-V1.mp4,06-27,32309,1907,616,5439
REPORTE_06-27-2025-V2.mp4.txt,06-27-2025-V2.mp4,06-27,31996,1700,539,6702
REPORTE_06-27-2025-V3.mp4.txt,06-27-2025-V3.mp4,06-27,32406,1960,701,4582
REPORTE_07-04-2025-V1.mp4.txt,07-04-2025-V1.mp4,07-04,30867,951,313,3498
REPORTE_07-04-2025-V2.mp4.txt,07-04-2025-V2.mp4,07-04,25997,902,341,3081
REPORTE_07-04-2025-V3.mp4.txt,07-04-2025-V3.mp4,07-04,30607,1178,415,4271
REPORTE_07-18-2025-V1.mp4.txt,07-18-2025-V1.mp4,07-18,30546,1220,409,2716
REPORTE_07-18-2025-V2.mp4.txt,07-18-2025-V2.mp4,07-18,27083,1419,373,4406
REPORTE_07-18-2025-V3.mp4.txt,07-18-2025-V3.mp4,07-18,27921,1147,262,8550
REPORTE_07-21-2025-V1.mp4.txt,07-21-2025-V1.mp4,07-21,30902,1771,825,2823
REPORTE_07-21-2025-V2.mp4.txt,07-21-2025-V2.mp4,07-21,31795,1647,432,4549
REPORTE_07-21-2025-V3.mp4.txt,07-21-2025-V3.mp4,07-21,28915,1444,484,3906
REPORTE_07-24-2025-V1.mp4.txt,07-24-2025-V1.mp4,07-24,28182,1009,349,3423
REPORTE_07-24-2025-V2.mp4.txt,07-24-2025-V2.mp4,07-24,35662,2138,825,5042
REPORTE_07-25-2025-V1.mp4.txt,07-25-2025-V1.mp4,07-25,30839,1414,400,5737
REPORTE_07-25-2025-V2.mp4.txt,07-25-2025-V2.mp4,07-25,32417,1308,456,7932
REPORTE_07-25-2025-V3.mp4.txt,07-25-2025-V3.mp4,07-25,30678,1036,246,4763
REPORTE_07-28-2025-V1.mp4.txt,07-28-2025-V1.mp4,07-28,31176,1371,446,5845
REPORTE_07-28-2025-V2.mp4.txt,07-28-2025-V2.mp4,07-28,26337,1036,374,3400
REPORTE_07-28-2025-V3.mp4.txt,07-28-2025-V3.mp4,07-28,29146,1012,327,8018
REPORTE_07-30-2025-V1.mp4.txt,07-30-2025-V1.mp4,07-30,29838,2123,729,2162
REPORTE_07-30-2025-V2.mp4.txt,07-30-2025-V2.mp4,07-30,30310,1419,482,9360
REPORTE_07-30-2025-V3.mp4.txt,07-30-2025-V3.mp4,07-30,28102,1266,414,7629
REPORTE_08-04-2025-V1.mp4.txt,08-04-2025-V1.mp4,08-04,29596,1601,503,21514
REPORTE_08-04-2025-V2.mp4.txt,08-04-2025-V2.mp4,08-04,32075,1696,547,5818
REPORTE_08-04-2025-V3.mp4.txt,08-04-2025-V3.mp4,08-04,31064,1623,567,4248
REPORTE_08-05-2025-V1.mp4.txt,08-05-2025-V1.mp4,08-05,30741,1591,446,6884
REPORTE_08-05-2025-V2.mp4.txt,08-05-2025-V2.mp4,08-05,31608,1619,491,5625
REPORTE_08-05-2025-V3.mp4.txt,08-05-2025-V3.mp4,08-05,30385,3228,1214,4602
REPORTE_10-01-2025-V1.mp4.txt,10-01-2025-V1.mp4,10-01,32466,2040,685,2284
REPORTE_10-01-2025-V2.mp4.txt,10-01-2025-V2.mp4,10-01,32716,2578,744,2019
REPORTE_10-01-2025-V3.mp4.txt,10-01-2025-V3.mp4,10-01,34591,2768,882,3665
REPORTE_10-02-2025-V1.mp4.txt,10-02-2025-V1.mp4,10-02,33161,1404,447,5541
REPORTE_10-02-2025-V2.mp4.txt,10-02-2025-V2.mp4,10-02,34937,1246,328,4077
REPORTE_10-02-2025-V3.mp4.txt,10-02-2025-V3.mp4,10-02,34721,1325,451,3235
REPORTE_10-03-2025-V1.mp4.txt,10-03-2025-V1.mp4,10-03,31660,1420,432,3637
REPORTE_10-03-2025-V2.mp4.txt,10-03-2025-V2.mp4,10-03,32022,1024,376,8550
REPORTE_10-03-2025-V3.mp4.txt,10-03-2025-V3.mp4,10-03,32526,1175,433,5856
REPORTE_10-06-2025-V1.mp4.txt,10-06-2025-V1.mp4,10-06,33027,1700,725,2084
REPORTE_10-06-2025-V2.mp4.txt,10-06-2025-V2.mp4,10-06,29103,1409,553,3816
REPORTE_10-06-2025-V3.mp4.txt,10-06-2025-V3.mp4,10-06,32310,1615,571,3053
REPORTE_10-07-2025-V1.mp4.txt,10-07-2025-V1.mp4,10-07,25473,1123,413,6065
REPORTE_10-07-2025-V2.mp4.txt,10-07-2025-V2.mp4,10-07,30351,1545,423,4768
REPORTE_10-07-2025-V3.mp4.txt,10-07-2025-V3.mp4,10-07,29438,1145,429,4361
REPORTE_10-08-2025-V1.mp4.txt,10-08-2025-V1.mp4,10-08,29136,861,268,7707
REPORTE_10-08-2025-V2.mp4.txt,10-08-2025-V2.mp4,10-08,32031,668,247,3699
REPORTE_10-08-2025-V3.mp4.txt,10-08-2025-V3.mp4,10-08,33051,950,327,4577
REPORTE_10-09-2025-V1.mp4.txt,10-09-2025-V1.mp4,10-09,29983,820,236,7047
REPORTE_10-09-2025-V2.mp4.txt,10-09-2025-V2.mp4,10-09,30048,2106,675,4408
REPORTE_10-09-2025-V3.mp4.txt,10-09-2025-V3.mp4,10-09,32739,2205,783,2971
REPORTE_10-10-2025-V1.mp4.txt,10-10-2025-V1.mp4,10-10,27271,2023,584,3940
REPORTE_10-10-2025-V2.mp4.txt,10-10-2025-V2.mp4,10-10,29684,1759,605,4242
REPORTE_10-10-2025-V3.mp4.txt,10-10-2025-V3.mp4,10-10,30931,2609,1082,1978
REPORTE_10-13-2025-V1.mp4.txt,10-13-2025-V1.mp4,10-13,31206,1747,692,2045
REPORTE_10-13-2025-V2.mp4.txt,10-13-2025-V2.mp4,10-13,32309,1907,616,5439
REPORTE_10-13-2025-V3.mp4.txt,10-13-2025-V3.mp4,10-13,31996,1700,539,6702
REPORTE_10-14-2025-V1.mp4.txt,10-14-2025-V1.mp4,10-14,32406,1960,701,4582
REPORTE_10-14-2025-V2.mp4.txt,10-14-2025-V2.mp4,10-14,30867,951,313,3498
REPORTE_10-14-2025-V3.mp4.txt,10-14-2025-V3.mp4,10-14,25997,902,341,3081
REPORTE_10-15-2025-V1.mp4.txt,10-15-2025-V1.mp4,10-15,30607,1178,415,4271
REPORTE_10-15-2025-V2.mp4.txt,10-15-2025-V2.mp4,10-15,30546,1220,409,2716
REPORTE_10-15-2025-V3.mp4.txt,10-15-2025-V3.mp4,10-15,27083,1419,373,4406
REPORTE_10-16-2025-V1.mp4.txt,10-16-2025-V1.mp4,10-16,27921,1147,262,8550
REPORTE_10-16-2025-V2.mp4.txt,10-16-2025-V2.mp4,10-16,30902,1771,825,2823
REPORTE_10-16-2025-V3.mp4.txt,10-16-2025-V3.mp4,10-16,31795,1647,432,4549
REPORTE_10-17-2025-V1.mp4.txt,10-17-2025-V1.mp4,10-17,28915,1444,484,3906
REPORTE_10-17-2025-V2.mp4.txt,10-17-2025-V2.mp4,10-17,28182,1009,349,3423
REPORTE_10-17-2025-V3.mp4.txt,10-17-2025-V3.mp4,10-17,35662,2138,825,5042
REPORTE_10-20-2025-V1.mp4.txt,10-20-2025-V1.mp4,10-20,30839,1414,400,5737
REPORTE_10-20-2025-V2.mp4.txt,10-20-2025-V2.mp4,10-20,32417,1308,456,7932
REPORTE_10-20-2025-V3.mp4.txt,10-20-2025-V3.mp4,10-20,30678,1036,246,4763
REPORTE_10-21-2025-V1.mp4.txt,10-21-2025-V1.mp4,10-21,31176,1371,446,5845
REPORTE_10-21-2025-V2.mp4.txt,10-21-2025-V2.mp4,10-21,26337,1036,374,3400
REPORTE_10-21-2025-V3.mp4.txt,10-21-2025-V3.mp4,10-21,29146,1012,327,8018
REPORTE_10-22-2025-V1.mp4.txt,10-22-2025-V1.mp4,10-22,29838,2123,729,2162
REPORTE_10-22-2025-V2.mp4.txt,10-22-2025-V2.mp4,10-22,30310,1419,482,9360
REPORTE_10-22-2025-V3.mp4.txt,10-22-2025-V3.mp4,10-22,28102,1266,414,7629
REPORTE_10-23-2025-V1.mp4.txt,10-23-2025-V1.mp4,10-23,29596,1601,503,21514
REPORTE_10-23-2025-V2.mp4.txt,10-23-2025-V2.mp4,10-23,32075,1696,547,5818
REPORTE_10-23-2025-V3.mp4.txt,10-23-2025-V3.mp4,10-23,31064,1623,567,4248
REPORTE_10-24-2025-V1.mp4.txt,10-24-2025-V1.mp4,10-24,30741,1591,446,6884
REPORTE_10-24-2025-V2.mp4.txt,10-24-2025-V2.mp4,10-24,31608,1619,491,5625
REPORTE_10-24-2025-V3.mp4.txt,10-24-2025-V3.mp4,10-24,30385,3228,1214,4602
REPORTE_10-27-2025-V1.mp4.txt,10-27-2025-V1.mp4,10-27,32466,2040,685,2284
REPORTE_10-27-2025-V2.mp4.txt,10-27-2025-V2.mp4,10-27,34591,2768,882,3665
REPORTE_10-27-2025-V3.mp4.txt,10-27-2025-V3.mp4,10-27,32716,2578,744,2019
REPORTE_10-28-2025-V1.mp4.txt,10-28-2025-V1.mp4,10-28,33161,1404,447,5541
REPORTE_10-28-2025-V2.mp4.txt,10-28-2025-V2.mp4,10-28,34937,1246,328,4077
REPORTE_10-28-2025-V3.mp4.txt,10-28-2025-V3.mp4,10-28,34721,1325,451,3235
REPORTE_10-29-2025-V1.mp4.txt,10-29-2025-V1.mp4,10-29,31660,1420,432,3637
REPORTE_10-29-2025-V2.mp4.txt,10-29-2025-V2.mp4,10-29,32022,1024,376,8550
REPORTE_10-29-2025-V3.mp4.txt,10-29-2025-V3.mp4,10-29,32526,1175,433,5856
REPORTE_10-30-2025-V1.mp4.txt,10-30-2025-V1.mp4,10-30,33027,1700,725,2084
REPORTE_10-30-2025-V2.mp4.txt,10-30-2025-V2.mp4,10-30,29103,1409,553,3816
REPORTE_10-30-2025-V3.mp4.txt,10-30-2025-V3.mp4,10-30,32310,1615,571,3053
REPORTE_10-31-2025-V1.mp4.txt,10-31-2025-V1.mp4,10-31,25473,1123,413,6065
REPORTE_10-31-2025-V2.mp4.txt,10-31-2025-V2.mp4,10-31,30351,1545,423,4768
REPORTE_10-31-2025-V3.mp4.txt,10-31-2025-V3.mp4,10-31,29438,1145,429,4361
REPORTE_11-03-2025-V1.mp4.txt,11-03-2025-V1.mp4,11-03,29136,861,268,7707
REPORTE_11-03-2025-V2.mp4.txt,11-03-2025-V2.mp4,11-03,32031,668,247,3699
REPORTE_11-03-2025-V3.mp4.txt,11-03-2025-V3.mp4,11-03,33051,950,327,4577
REPORTE_11-04-2025-V1.mp4.txt,11-04-2025-V1.mp4,11-04,29983,820,236,7047
REPORTE_11-04-2025-V2.mp4.txt,11-04-2025-V2.mp4,11-04,30048,2106,675,4408
REPORTE_11-04-2025-V3.mp4.txt,11-04-2025-V3.mp4,11-04,32739,2205,783,2971
REPORTE_11-05-2025-V1.mp4.txt,11-05-2025-V1.mp4,11-05,27271,2023,584,3940
REPORTE_11-05-2025-V2.mp4.txt,11-05-2025-V2.mp4,11-05,29684,1759,605,4242
REPORTE_11-05-2025-V3.mp4.txt,11-05-2025-V3.mp4,11-05,30931,2609,1082,1978
REPORTE_11-06-2025-V1.mp4.txt,11-06-2025-V1.mp4,11-06,31206,1747,692,2045
REPORTE_11-06-2025-V2.mp4.txt,11-06-2025-V2.mp4,11-06,32309,1907,616,5439
REPORTE_11-06-2025-V3.mp4.txt,11-06-2025-V3.mp4,11-06,31996,1700,539,6702
REPORTE_11-07-2025-V1.mp4.txt,11-07-2025-V1.mp4,11-07,32406,1960,701,4582
REPORTE_11-07-2025-V2.mp4.txt,11-07-2025-V2.mp4,11-07,30867,951,313,3498
REPORTE_11-07-2025-V3.mp4.txt,11-07-2025-V3.mp4,11-07,25997,902,341,3081
REPORTE_11-10-2025-V1.mp4.txt,11-10-2025-V1.mp4,11-10,30607,1178,415,4271
REPORTE_11-10-2025-V2.mp4.txt,11-10-2025-V2.mp4,11-10,30546,1220,409,2716
REPORTE_11-10-2025-V3.mp4.txt,11-10-2025-V3.mp4,11-10,27083,1419,373,4406
REPORTE_11-11-2025-V1.mp4.txt,11-11-2025-V1.mp4,11-11,27921,1147,262,8550
REPORTE_11-11-2025-V2.mp4.txt,11-11-2025-V2.mp4,11-11,30902,1771,825,2823
REPORTE_11-11-2025-V3.mp4.txt,11-11-2025-V3.mp4,11-11,31795,1647,432,4549
REPORTE_11-12-2025-V1.mp4.txt,11-12-2025-V1.mp4,11-12,28915,1444,484,3906
REPORTE_11-12-2025-V2.mp4.txt,11-12-2025-V2.mp4,11-12,28182,1009,349,3423
REPORTE_11-12-2025-V3.mp4.txt,11-12-2025-V3.mp4,11-12,35662,2138,825,5042
REPORTE_11-13-2025-V1.mp4.txt,11-13-2025-V1.mp4,11-13,30839,1414,400,5737
REPORTE_11-13-2025-V2.mp4.txt,11-13-2025-V2.mp4,11-13,32417,1308,456,7932
REPORTE_11-13-2025-V3.mp4.txt,11-13-2025-V3.mp4,11-13,30678,1036,246,4763
REPORTE_11-14-2025-V1.mp4.txt,11-14-2025-V1.mp4,11-14,31176,1371,446,5845
REPORTE_11-14-2025-V2.mp4.txt,11-14-2025-V2.mp4,11-14,26337,1036,374,3400
REPORTE_11-14-2025-V3.mp4.txt,11-14-2025-V3.mp4,11-14,29146,1012,327,8018
